label,layer,neuron,f1,precision,recall,mean_dif
Italian,14,3504,1.0,1.0,1.0,1.0874411
French,12,6070,1.0,1.0,1.0,1.2787557
French,12,1010,1.0,1.0,1.0,1.6069582
French,11,1346,1.0,1.0,1.0,3.2094269
German,8,2095,1.0,1.0,1.0,1.4025594
German,15,1119,1.0,1.0,1.0,1.594615
German,10,733,1.0,1.0,1.0,2.4220233
German,12,5272,1.0,1.0,1.0,3.5965397
Italian,11,3597,1.0,1.0,1.0,1.1727941
Italian,10,5340,1.0,1.0,1.0,1.4199808
Italian,9,8130,1.0,1.0,1.0,2.0123534
Italian,12,5585,1.0,1.0,1.0,2.9773004
Portuguese,14,7188,1.0,1.0,1.0,1.1695055
Portuguese,9,6809,1.0,1.0,1.0,1.1833673
Portuguese,9,7334,1.0,1.0,1.0,1.1872085
Portuguese,12,593,1.0,1.0,1.0,5.020689
Spanish,10,5801,1.0,1.0,1.0,1.0715287
Spanish,12,2204,1.0,1.0,1.0,1.1634151
Spanish,9,2510,1.0,1.0,1.0,1.4117922
Swedish,8,10,1.0,1.0,1.0,1.2324364
Swedish,14,6848,1.0,1.0,1.0,1.2987288
Swedish,12,4375,1.0,1.0,1.0,1.6627799
Swedish,10,4555,1.0,1.0,1.0,2.1898453
French,8,2781,1.0,1.0,1.0,1.3921213
Swedish,9,1508,1.0,1.0,1.0,2.2697327
English,15,5119,1.0,1.0,1.0,-3.65169
Dutch,12,6764,1.0,1.0,1.0,1.025379
Dutch,8,8007,1.0,1.0,1.0,2.0298417
Dutch,9,407,1.0,1.0,1.0,2.2978938
English,15,4050,1.0,1.0,1.0,-2.8567095
Swedish,12,7705,0.9998385273696109,1.0,0.9996771068776235,1.2076042
Portuguese,14,7322,0.9996785599485696,0.9993573264781491,1.0,0.9153991
English,15,1273,0.9996763754045307,0.9996763754045307,0.9996763754045307,-1.5152502
Dutch,12,1389,0.9995220646805799,0.9990445859872611,1.0,1.9893162
French,12,2097,0.9995203836930455,0.9990412272291467,1.0,1.8167576
English,15,2303,0.9982168909061436,1.0,0.9964401294498382,1.1505859
English,10,3324,0.998056994818653,0.998703823720026,0.997411003236246,-1.0110916
English,15,237,0.9980551053484603,0.9996753246753247,0.9964401294498382,0.9926032
English,12,5213,0.9893773492400719,0.9993397160779135,0.9796116504854369,1.2082156
English,15,6756,0.9884430176565008,0.9805732484076433,0.9964401294498382,-1.0614806
Italian,12,5579,0.9808738920852123,0.9627594627594628,0.9996830427892235,2.5739977
Spanish,15,472,0.9657223352637345,0.9385457864313964,0.9945196647324307,0.95412326
German,15,2784,0.9400159108989659,0.890295358649789,0.99561846983485,-1.3966532
French,12,8046,0.9230083234244947,0.8620210993892282,0.9932821497120922,1.3770388
Swedish,14,1692,0.8558396682791983,0.7481875302078299,0.9996771068776235,2.077414
Dutch,12,3364,0.8381920299545333,0.7219534669431007,0.9990436722983742,0.9632402
Italian,13,5801,0.7390743995313415,0.5862453531598513,0.9996830427892235,1.6953952
French,14,7796,0.7290330106147206,0.5737102992472921,0.9996801023672425,1.0492584
Dutch,11,8031,0.6692997438087104,0.503129513721714,0.9993624481989162,1.2651596
Dutch,14,1692,0.6690862510674637,0.5029690258385492,0.9990436722983742,1.9061885
Portuguese,10,7947,0.6673822045722873,0.5008860963428388,0.9996784565916399,1.6973578
Portuguese,12,1681,0.6665235590855425,0.500241662638956,0.9983922829581994,3.358652
Spanish,12,1681,0.6665233745298227,0.4999193938416895,0.9996776273372018,3.3622043
Spanish,10,7947,0.6655924374261467,0.4991139036571613,0.9987105093488072,1.696002
Swedish,11,8031,0.6638078902229846,0.496870486278286,0.9996771068776235,1.2628701
Italian,13,5661,0.6546889604320282,0.4868705591597158,0.9990491283676703,1.2295591
German,12,5579,0.6519872288891335,0.4841399607586658,0.9979777553083923,1.8993376
Swedish,13,5661,0.6426120411770823,0.47392638036809814,0.9977397481433645,1.225626
Spanish,13,5767,0.6310105949470253,0.46127494787012213,0.998388136686009,0.8821914
Dutch,13,8063,0.5084306095979247,0.34090662028481356,0.999681224099458,1.8662705
Dutch,10,7949,0.5081501905765956,0.3407657167718077,0.9987248963978324,1.0067414
Swedish,13,8063,0.5035783994795054,0.33655832155669096,0.9996771068776235,1.8627179
Spanish,13,5801,0.5013923013923015,0.3360781730346948,0.986782720825274,1.583646
Portuguese,13,5801,0.4971905602825493,0.3313008130081301,0.9958199356913183,1.3841414
German,13,8063,0.4877527535755383,0.3225350581584955,1.0,1.8515582
German,10,7949,0.4875400937577103,0.3224543080939948,0.9989888776541962,0.99899423
French,10,3324,0.400666709404449,0.2505411689248777,0.9996801023672425,0.95063794
Portuguese,10,3324,0.3982289527720739,0.24875741542408208,0.9977491961414791,0.9486221
Spanish,10,3324,0.3972778633795583,0.24803591470258138,0.9974210186976145,0.9485472
Italian,13,8063,0.33680388702012914,0.20251701553871837,0.9996830427892235,-1.0954475
French,13,8063,0.33422459893048123,0.20065493771670734,0.9996801023672425,-1.0931323
Portuguese,13,8063,0.33290502195095834,0.19970452209660844,0.9996784565916399,-1.0999051
Spanish,13,8063,0.33272434175174637,0.19963889605364973,0.9980657640232108,-1.1036577
German,13,5801,0.3241613681210261,0.19355894481900895,0.9966295921806538,-0.943914
English,13,8063,0.32169218904924535,0.1938396176314392,0.9449838187702265,-1.1134566
Dutch,12,1681,0.3209917355371901,0.19403183907280358,0.9285941982786101,-1.1425421
Italian,12,1681,0.2913465987968533,0.17057707938228123,0.9977812995245642,-1.1230656
French,12,1681,0.28867801655968,0.16889832353581538,0.9926423544465771,-1.1285534
English,12,1681,0.2775155748536907,0.16244888938004198,0.9514563106796117,-1.1345258
German,12,1681,0.2757527733755943,0.16000432736517553,0.9969666329625885,-1.1064279
