label,layer,neuron,f1,precision,recall,mean_dif
uspto,4,144,0.9928673323823111,0.997134670487106,0.9886363636363636,1.3582975
arxiv,14,6473,0.9894403379091868,0.9952203929899097,0.9837270341207349,1.9388484
uspto,10,3880,0.9871121718377088,0.9951876804619827,0.9791666666666666,1.5940275
wikipedia,10,5431,0.9720670391061452,0.9914529914529915,0.9534246575342465,0.57625586
freelaw,1,7742,0.9573617588274482,0.9965325936199723,0.9211538461538461,0.66568995
arxiv,11,1094,0.8578886310904872,0.9585223590408296,0.7763779527559055,0.9735476
freelaw,15,1679,0.8523058960887332,0.782422293676313,0.9358974358974359,0.6972004
arxiv,13,3999,0.8371027769825364,0.9206549118387909,0.7674540682414698,0.912442
enron,13,6537,0.7904667328699106,0.7276051188299817,0.8652173913043478,0.80194414
arxiv,15,4370,0.7810810810810811,0.6840236686390533,0.9102362204724409,-0.9819372
arxiv,15,1687,0.7520422873618452,0.6933983163491361,0.821522309711286,1.0288346
arxiv,15,8164,0.7429175475687102,0.6219469026548673,0.9223097112860892,-0.7285091
enron,10,6348,0.7197106690777577,0.6160990712074303,0.8652173913043478,0.7970428
freelaw,15,5881,0.7161845191555903,0.6034255599472991,0.8807692307692307,0.8695251
freelaw,15,7165,0.7091442282058117,0.6070287539936102,0.8525641025641025,0.6928692
freelaw,15,6158,0.677128891175714,0.5655350236355823,0.8435897435897436,0.6624098
arxiv,15,1582,0.6689604325387073,0.6289279112754159,0.7144356955380577,0.7665377
github,14,5541,0.665045170257123,0.5287292817679557,0.8960674157303371,-0.867995
enron,14,306,0.6614173228346456,0.5185185185185185,0.9130434782608695,0.5244263
arxiv,15,2501,0.6578833693304537,0.5588990825688074,0.7994750656167979,0.74213153
hackernews,15,7882,0.6360946745562129,0.48423423423423423,0.9267241379310345,0.69063514
hackernews,15,2694,0.635386119257087,0.48148148148148145,0.9339080459770115,1.2275292
github,15,4736,0.6249570299071846,0.4937533948940793,0.851123595505618,1.391933
uspto,15,95,0.6228956228956228,0.4832810867293626,0.8759469696969697,1.1592071
uspto,15,2493,0.6123737373737373,0.45928030303030304,0.9185606060606061,0.88796407
hackernews,3,1922,0.6076668244202557,0.45306986591390264,0.9224137931034483,0.58777225
enron,12,1499,0.6044591246903385,0.4873501997336884,0.7956521739130434,0.5038945
github,15,1471,0.6030787805614247,0.44498886414253896,0.9353932584269663,-1.2222055
arxiv,15,6565,0.5749884633133363,0.5129682997118156,0.6540682414698162,0.79700905
github,15,3043,0.5744010088272383,0.43298479087452474,0.852996254681648,-1.0986626
freelaw,15,2930,0.5602696272799366,0.40556831228473017,0.9057692307692308,-1.1432045
freelaw,15,2088,0.5434535104364326,0.38598382749326143,0.9179487179487179,-0.7374368
freelaw,15,7563,0.5395124564693276,0.4634146341463415,0.6455128205128206,0.71155685
github,15,7072,0.5361757105943152,0.40927021696252464,0.7771535580524345,1.0500093
github,15,6756,0.5342589797766374,0.39420935412026725,0.8286516853932584,1.0202789
stack_exchange,15,6280,0.5336519315013939,0.40803897685749085,0.7710011507479861,0.66871446
freelaw,15,970,0.5334597156398104,0.37873485868102286,0.9019230769230769,-1.4715399
github,15,3581,0.5252918287937743,0.4017857142857143,0.7584269662921348,0.97077835
stack_exchange,15,3452,0.5195112337406386,0.395083932853717,0.7583429228998849,0.59234977
uspto,15,142,0.5038716814159292,0.355859375,0.8626893939393939,-1.0459994
stack_exchange,15,2758,0.496361547299885,0.3719862227324914,0.7456846950517837,0.7917828
hackernews,15,6562,0.49335418295543393,0.3388829215896885,0.9066091954022989,0.5669132
hackernews,15,1921,0.4924749163879599,0.3472877358490566,0.8462643678160919,0.56224567
hackernews,15,5073,0.48612279226240535,0.3436385255648038,0.8304597701149425,0.5929411
freelaw,15,2784,0.4811683320522675,0.34357848518111966,0.8025641025641026,-0.9612975
enron,15,5748,0.47692307692307695,0.3381818181818182,0.808695652173913,0.50071794
enron,15,5664,0.47085714285714286,0.31937984496124033,0.8956521739130435,0.4900623
github,15,2088,0.45856980703745737,0.3289902280130293,0.7565543071161048,0.9229853
