label,layer,neuron,f1,precision,recall,mean_dif
Swedish,17,8619,1.0,1.0,1.0,3.108523
Spanish,24,3385,1.0,1.0,1.0,1.8667606
Portuguese,15,8388,1.0,1.0,1.0,0.67135954
French,23,10193,1.0,1.0,1.0,2.7288942
French,21,9420,1.0,1.0,1.0,3.0223315
French,18,4544,1.0,1.0,1.0,3.0867023
Spanish,11,6159,1.0,1.0,1.0,0.7981629
Spanish,15,5083,1.0,1.0,1.0,0.7307858
Portuguese,23,8313,1.0,1.0,1.0,4.227719
German,18,5776,1.0,1.0,1.0,1.0486941
Portuguese,18,1830,1.0,1.0,1.0,2.7089062
German,19,2870,1.0,1.0,1.0,2.3369524
German,18,7541,1.0,1.0,1.0,2.787563
Portuguese,24,3264,1.0,1.0,1.0,2.53584
Italian,30,3738,1.0,1.0,1.0,0.74461746
Italian,14,983,1.0,1.0,1.0,1.2590355
Italian,19,1441,1.0,1.0,1.0,1.5333498
Italian,25,9892,1.0,1.0,1.0,1.5763931
Italian,21,2573,1.0,1.0,1.0,2.1740758
Italian,18,9272,1.0,1.0,1.0,2.9533823
Italian,23,8700,1.0,1.0,1.0,4.362994
Spanish,21,3636,1.0,1.0,1.0,1.5518045
Spanish,14,8981,1.0,1.0,1.0,1.0965519
Spanish,21,7975,1.0,1.0,1.0,2.4595978
English,24,1641,1.0,1.0,1.0,1.692827
Swedish,20,7466,1.0,1.0,1.0,2.8175282
Dutch,21,8955,1.0,1.0,1.0,0.95093435
Swedish,17,6950,1.0,1.0,1.0,2.5781813
Swedish,22,4120,1.0,1.0,1.0,1.1072047
Dutch,14,9558,1.0,1.0,1.0,1.5236667
Dutch,23,7327,1.0,1.0,1.0,1.8679377
Dutch,17,5939,1.0,1.0,1.0,3.2423668
Dutch,20,9199,1.0,1.0,1.0,5.219442
Portuguese,14,5762,1.0,1.0,1.0,1.3352711
French,15,4446,1.0,1.0,1.0,0.75165784
English,31,3476,1.0,1.0,1.0,-1.8074008
English,31,7942,1.0,1.0,1.0,-2.2030246
English,31,5603,0.999838213881249,0.9996764801035264,1.0,-2.673296
English,31,7016,0.9998381615148082,1.0,0.9996763754045307,2.5834038
German,22,9817,0.9998315080033698,0.9996630727762803,1.0,3.8007371
Italian,26,9973,0.9996829422954978,1.0,0.9993660855784469,0.90983546
Swedish,23,6255,0.9996770025839793,1.0,0.999354213755247,0.9582479
Swedish,23,4336,0.9995158947878006,0.9990322580645161,1.0,0.82829905
English,21,3868,0.9993527508090615,0.9993527508090615,0.9993527508090615,3.0182626
English,22,5842,0.9975771280891617,0.9958078039342148,0.9993527508090615,1.6883489
English,30,8840,0.9975763451284537,0.9961277831558567,0.9990291262135922,2.715716
Italian,27,8145,0.9960461806104697,0.9940025252525253,0.9980982567353407,0.80570555
English,30,3449,0.9948152948801037,0.9961064243997404,0.9935275080906149,1.631762
Spanish,25,8053,0.9945390298747189,0.9910371318822023,0.9980657640232108,0.86729544
German,31,8634,0.9939698492462311,0.988011988011988,1.0,-1.8647993
German,31,9865,0.9914758482366705,0.98342175066313,0.9996629592180654,-0.92333007
Dutch,31,4050,0.9829126822385954,0.9669956816779766,0.9993624481989162,-0.88926667
Swedish,22,5078,0.968397997496871,0.9393019726858877,0.999354213755247,0.9916499
Dutch,31,5516,0.9585563541825968,0.921222810111699,0.9990436722983742,-0.9159443
English,31,1511,0.9261495587552253,0.8878005342831701,0.9679611650485437,1.5917645
German,31,7978,0.8842137127289239,0.8024725274725275,0.9844961240310077,-0.90586555
French,31,2577,0.8379781420765028,0.7312827849308536,0.9811260396673065,1.1299031
Swedish,30,8840,0.7528373266078183,0.6176288019863438,0.9638359702938327,-1.4288079
French,31,8893,0.7327803822574829,0.5869439630271519,0.9750479846449136,-0.76365423
French,25,7645,0.6772337422646836,0.5125718981101068,0.9977607165706974,1.2637866
Dutch,31,2451,0.6695837780149413,0.5032889459329376,1.0,-0.93136245
French,30,3307,0.6688068485821295,0.5024923621160958,0.9996801023672425,0.8177088
German,31,1819,0.6685619521440417,0.5154337899543379,0.9511290866194809,0.84250057
Swedish,22,10222,0.6678167115902965,0.5012949174490127,1.0,1.5289083
Portuguese,22,10222,0.6675968659439734,0.5010472047688094,1.0,1.5191945
Spanish,30,3307,0.6640205964385325,0.49758842443729906,0.9977433913604127,0.8142167
Portuguese,22,4771,0.6583797685383626,0.49373191899710706,0.9877813504823151,0.6658173
Swedish,31,2577,0.6572559084589883,0.49136552606331946,0.9922505650629642,-0.92424464
German,25,7645,0.6559008959185931,0.4881461969048403,0.9993259184361307,1.2607719
Portuguese,22,5401,0.6498408866454516,0.49325337331334335,0.9520900321543408,0.6668612
German,31,2577,0.6394100422947618,0.471378317876559,0.9935962251432423,-0.9147696
Dutch,31,9646,0.5995689655172414,0.45287318899560475,0.8868345553076188,1.1079031
Portuguese,30,6037,0.5931733435318864,0.4220982446591373,0.997427652733119,0.7857517
Spanish,30,6037,0.5917137116065448,0.4207375153082052,0.996776273372018,0.7850925
French,20,9199,0.5658280922431865,0.42079825381976926,0.86340371081254,-0.79610145
French,30,8840,0.5113011089477694,0.34764590767813974,0.9660908509277031,0.7692797
Dutch,30,8840,0.49967018469656993,0.3370036703370037,0.9658909786420147,-1.0925261
Spanish,20,9199,0.3206338868989471,0.19276951187679456,0.9522888459058672,-0.77178115
Italian,20,9199,0.2545806764064896,0.14586320122092217,0.9996830427892235,-0.7082983
Portuguese,20,9199,0.2513241418347956,0.14373583684040142,0.9993569131832798,-0.72275835
