label,layer,neuron,f1,precision,recall,mean_dif
freelaw,11,1478,0.9925925925925927,0.997411003236246,0.9878205128205129,0.7128881
uspto,17,3227,0.9886255924170616,0.9895635673624289,0.9876893939393939,1.7612715
uspto,6,1214,0.9836852207293666,0.9970817120622568,0.9706439393939394,1.0805383
arxiv,29,5934,0.8729198184568836,0.8398835516739447,0.9086614173228347,0.7780752
arxiv,30,1820,0.8278728606356968,0.7748283752860412,0.8887139107611548,1.0067205
freelaw,31,1300,0.8125177809388335,0.7304347826086957,0.9153846153846154,0.75595224
wikipedia,31,5830,0.6951476793248945,0.565180102915952,0.9027397260273973,0.6550227
arxiv,31,3692,0.6846677623855366,0.6193712829226848,0.7653543307086614,1.0541658
github,31,8317,0.681169272603671,0.5346851654215582,0.9382022471910112,-1.1388645
uspto,30,2358,0.6792321116928447,0.5378662244333886,0.9214015151515151,0.9372292
uspto,31,1094,0.6695715323166304,0.5429917550058893,0.8731060606060606,1.5555896
uspto,31,5808,0.6603575184016824,0.5242070116861436,0.8920454545454546,-1.5974302
arxiv,31,481,0.6598959623482785,0.624765478424015,0.6992125984251969,0.81437606
arxiv,31,8367,0.6359813084112149,0.5730526315789474,0.7144356955380577,0.8160238
uspto,31,9065,0.6104631789403533,0.47095115681233934,0.8674242424242424,1.0167485
arxiv,31,4534,0.5964673913043479,0.5244922341696535,0.6913385826771653,1.2013282
arxiv,30,2455,0.5912177455862382,0.5196975726223637,0.6855643044619423,0.75599
uspto,31,6069,0.5696932887944124,0.4193115780062584,0.8882575757575758,-1.0863385
uspto,31,10085,0.5678855325914149,0.42747726184777407,0.8456439393939394,1.1774325
arxiv,20,2267,0.5627331631651287,0.44949811794228356,0.7522309711286089,1.0155491
arxiv,31,706,0.5568304827884822,0.47383935151068535,0.6750656167979002,0.8852089
arxiv,30,1868,0.5559812686249468,0.46759756534192626,0.6855643044619423,1.6429701
freelaw,31,4730,0.5473361441165198,0.3903772553307818,0.9153846153846154,-0.7273248
freelaw,31,9646,0.5458622095393396,0.40017931858936046,0.8583333333333333,-0.9925436
github,31,5516,0.5309483248154457,0.38101059494702527,0.8754681647940075,-0.93643564
freelaw,31,5995,0.5113924050632911,0.36727272727272725,0.8416666666666667,-0.7848791
freelaw,31,1511,0.5051567239635996,0.3689807976366322,0.8006410256410257,-1.4582388
freelaw,18,7165,0.5006760672203979,0.35830799004700026,0.8307692307692308,-0.88084453
github,31,7016,0.496551724137931,0.35197497066875244,0.8426966292134831,-1.0894923
freelaw,30,1868,0.4923559388475107,0.3546019198193111,0.8051282051282052,-1.4795175
hackernews,30,3174,0.49185538339292806,0.3399231191652938,0.889367816091954,0.6930726
github,31,825,0.476923076923077,0.3709677419354839,0.6676029962546817,1.3402072
github,31,5384,0.4753641152773474,0.3552570634553034,0.7181647940074907,-1.1645612
uspto,31,1819,0.47178153446033816,0.3252061670849767,0.8589015151515151,-0.9922439
