label,layer,neuron,f1,precision,recall,mean_dif
Swedish,16,2277,1.0,1.0,1.0,1.9873444
French,13,124,1.0,1.0,1.0,1.3191388
German,17,362,1.0,1.0,1.0,0.6770698
German,16,665,1.0,1.0,1.0,1.2949187
Italian,16,2287,1.0,1.0,1.0,0.9740401
Italian,14,1379,1.0,1.0,1.0,1.4527063
Italian,19,2046,1.0,1.0,1.0,1.7372948
Italian,22,1257,1.0,1.0,1.0,1.9351925
Dutch,16,2394,1.0,1.0,1.0,2.3929136
Italian,16,1661,1.0,1.0,1.0,2.2033014
Portuguese,20,1711,1.0,1.0,1.0,0.7898046
Portuguese,21,229,1.0,1.0,1.0,0.8596153
Portuguese,21,35,1.0,1.0,1.0,0.97158587
Portuguese,14,2893,1.0,1.0,1.0,1.4799043
Spanish,16,1488,1.0,1.0,1.0,1.814613
French,16,1580,1.0,1.0,1.0,2.5761538
Italian,19,3342,0.9998414962751625,1.0,0.9996830427892235,0.9290012
Portuguese,19,2914,0.9998392024441228,1.0,0.9996784565916399,0.96202755
English,23,3868,0.999838213881249,0.9996764801035264,1.0,-1.8859019
Dutch,19,546,0.9996813256851498,0.9993628544122332,1.0,0.8488319
Spanish,20,797,0.9996776273372018,0.9996776273372018,0.9996776273372018,0.55789816
Spanish,20,2427,0.999677523379555,1.0,0.9993552546744036,0.64141536
English,19,1125,0.9996762706377468,1.0,0.9993527508090615,2.4688592
Portuguese,20,2912,0.9995179174031817,0.9990362993896563,1.0,0.7865891
Swedish,20,1470,0.9991931579796675,0.9987096774193548,0.9996771068776235,0.71566594
Spanish,20,294,0.9988715137836531,0.999032570138665,0.9987105093488072,0.71517485
English,20,3802,0.9978981406628941,0.997092084006462,0.998705501618123,3.4252467
English,21,329,0.9977368250889104,0.9967700258397932,0.998705501618123,2.0225523
French,21,3205,0.9972882437390334,0.9945911549475024,1.0,0.7751021
English,21,3921,0.9964527571751047,0.9929305912596401,1.0,4.535472
English,21,4004,0.9961315280464217,0.9922928709055877,1.0,2.3499262
English,17,3002,0.9956486704270749,0.991653290529695,0.9996763754045307,2.1661043
English,23,1829,0.9946834219429677,0.9903753609239654,0.9990291262135922,3.6532655
Dutch,20,3802,0.9864224818440164,0.9771660932123866,0.9958559132929551,-1.9735643
French,22,1432,0.9861198738170347,0.9726197884256378,1.0,0.61586624
Spanish,20,3322,0.9811260904044409,0.9656571963783952,0.9970986460348162,0.65217113
German,23,3433,0.9793285926905902,0.9613636363636363,0.9979777553083923,-1.2598655
Dutch,23,1660,0.9661566991191469,0.937612477504499,0.9964934650940389,-1.2281477
Dutch,21,3755,0.9378222626630269,0.8944171246745733,0.9856550844756137,-1.015528
German,22,1141,0.9350237717908083,0.8824409213281483,0.9942703067071116,-1.3844448
English,23,1332,0.9191856878470079,0.8780200353565115,0.9644012944983819,6.1402273
English,19,3403,0.8842572062084257,0.8138775510204082,0.9679611650485437,1.85886
Dutch,22,2350,0.8685779165483963,0.782808902532617,0.9754542556582723,-1.0667795
Spanish,18,238,0.7683544303797469,0.6325552313463944,0.978401031592521,0.612275
Swedish,23,324,0.7672054223149113,0.6432786885245901,0.95027445915402,0.92193437
French,22,148,0.7553658842726245,0.6215657921916959,0.9625719769673704,-0.87089217
French,23,1332,0.7389138622281618,0.5956904995102841,0.972808701215611,-5.3246965
Italian,22,2639,0.7294703163881976,0.5825132475397427,0.975594294770206,-0.9851248
Dutch,23,2564,0.6825855175477565,0.5237770581216976,0.9795983423653172,-1.3882385
Dutch,14,1399,0.6780725500812128,0.5134470318137094,0.9980873445967485,1.8107895
French,19,3328,0.6780212627467996,0.512967826657912,0.9996801023672425,0.6953861
German,20,2283,0.6771537421654172,0.5328820116054158,0.9285473542298618,-0.7518162
Portuguese,18,1085,0.6665234207133649,0.5004840271055179,0.997427652733119,0.63458633
Spanish,18,1085,0.6658064516129032,0.4995159728944821,0.9980657640232108,0.6349114
German,19,3328,0.6550391875482945,0.487032173342088,1.0,0.6902566
German,14,1399,0.6546778464254193,0.4866327702148598,1.0,1.799699
Swedish,23,2564,0.6544946837074428,0.49034438364982297,0.9838553438811753,-1.2123418
Dutch,23,1829,0.6409638554216868,0.4882362756549308,0.932738284985655,-2.1497166
Swedish,22,2639,0.6404910572547359,0.4763853904282116,0.9770745883112689,-0.769303
Portuguese,23,1332,0.6163402821646663,0.4582028804007514,0.9411575562700965,-3.7508564
Italian,19,3403,0.5960991038481813,0.4466034755134281,0.8960380348652932,-1.0469556
Swedish,23,1829,0.5855230041276552,0.4253949678174371,0.9389731998708427,-1.8143959
Swedish,23,3025,0.5742835595776772,0.40553854346957796,0.9835324507587988,-0.7615937
Swedish,22,1141,0.5587587587587588,0.4049035253155375,0.901194704552793,0.9118056
Portuguese,22,2350,0.5580968127124093,0.39063906390639064,0.9768488745980708,-0.66813016
French,22,2639,0.5424842737771102,0.3839202657807309,0.9241842610364683,0.6706464
