label,layer,neuron,f1,precision,recall,mean_dif
freelaw,4,189,0.9799870884441575,0.9869960988296489,0.9730769230769231,1.1732785
uspto,4,663,0.9785407725321887,0.9855907780979827,0.9715909090909091,1.4339486
arxiv,4,875,0.8502047981275599,0.9603436880370125,0.7627296587926509,0.7174698
freelaw,5,215,0.8365412237862683,0.7579385736595523,0.9333333333333333,0.8384967
uspto,5,1341,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.61036474
arxiv,5,1907,0.8125000000000001,0.9501054111033029,0.7097112860892388,0.58481336
arxiv,5,1840,0.7738317757009346,0.6972631578947368,0.8692913385826772,0.7787667
uspto,5,1054,0.751985053713218,0.7419354838709677,0.7623106060606061,0.58188844
uspto,5,882,0.7518620148961193,0.6414715719063545,0.9081439393939394,0.5885786
hackernews,5,545,0.7508493771234428,0.6196261682242991,0.9525862068965517,0.6864698
arxiv,5,881,0.7395348837209303,0.6638830897703549,0.8346456692913385,0.8549173
arxiv,4,392,0.7103857566765579,0.8170648464163822,0.6283464566929133,0.57060695
freelaw,4,896,0.6861487289142314,0.545111362778407,0.9256410256410257,-1.2209463
arxiv,5,681,0.670656293636545,0.5408622908622909,0.8824146981627297,-0.64301634
github,5,904,0.6439688715953308,0.49255952380952384,0.9297752808988764,-1.0104007
uspto,5,448,0.6434426229508197,0.5032051282051282,0.8920454545454546,0.58775836
github,5,1569,0.6278991596638656,0.4897745149449397,0.8745318352059925,0.9762335
arxiv,5,1727,0.6192555624870036,0.5127410468319559,0.7816272965879265,0.5333437
uspto,5,764,0.617816091954023,0.4976851851851852,0.8143939393939394,0.63015485
github,5,908,0.6129807692307693,0.45132743362831856,0.9550561797752809,-0.80917907
freelaw,4,227,0.5988267148014441,0.4620473537604457,0.8506410256410256,-0.9514768
github,4,1816,0.5965583173996176,0.45217391304347826,0.8764044943820225,-0.98448443
wikipedia,5,80,0.5918189730200174,0.4336734693877551,0.9315068493150684,1.0439142
uspto,5,1199,0.5877300613496932,0.43466424682395643,0.9071969696969697,0.71906316
github,4,975,0.5839707349517792,0.4528107271789582,0.8220973782771536,2.0926292
freelaw,5,297,0.5644599303135888,0.5579211020663745,0.5711538461538461,-0.63966846
arxiv,4,1167,0.5619516370639845,0.47434971098265893,0.689238845144357,1.1059747
github,4,272,0.5257142857142857,0.3976945244956772,0.7752808988764045,0.86890167
wikipedia,5,449,0.5113924050632911,0.3695121951219512,0.8301369863013699,0.41842306
stack_exchange,5,1957,0.5113547376664056,0.3875370919881306,0.7514384349827388,0.52834064
uspto,5,908,0.5084745762711865,0.3574173712528824,0.8806818181818182,0.741265
hackernews,3,1348,0.5051588939331407,0.35437174290677476,0.8793103448275862,-0.5471724
github,4,896,0.5019262520638416,0.35541699142634453,0.8539325842696629,1.2147617
uspto,5,1516,0.5010809512370887,0.33569359510782104,0.9876893939393939,0.76375675
arxiv,5,1516,0.5009983663096751,0.38290788013318533,0.7244094488188977,-0.58989424
wikipedia,5,1302,0.49678456591639875,0.3515358361774744,0.8465753424657534,0.54098153
stack_exchange,5,279,0.4959549771368273,0.35714285714285715,0.8112773302646721,0.44416556
uspto,5,681,0.49588094605368066,0.34466198743997045,0.8835227272727273,-0.67860985
freelaw,4,1167,0.4867479202940607,0.3485730119146578,0.8064102564102564,-0.9493146
hackernews,5,80,0.47720967102655565,0.32950191570881227,0.8649425287356322,0.8348698
freelaw,4,1447,0.4746038195855344,0.34741225461035097,0.7487179487179487,-0.9299207
github,4,227,0.46335299073294023,0.3309265944645006,0.7724719101123596,0.88544846
freelaw,4,975,0.45739417262231996,0.3202463433410316,0.8,-0.9673717
freelaw,5,98,0.45549132947976884,0.3256198347107438,0.7576923076923077,-0.9341183
hackernews,4,1447,0.4481772694781987,0.2982873453853473,0.9008620689655172,-1.3504963
github,5,98,0.43675473462707504,0.2910564038641321,0.8745318352059925,1.1186161
wikipedia,5,1199,0.43121149897330596,0.2874087591240876,0.863013698630137,-0.7048013
arxiv,4,1447,0.42003549595740486,0.33638660770688567,0.5590551181102362,0.6429138
freelaw,5,348,0.4119977362761743,0.29190056134723336,0.7,-0.6859827
github,4,1167,0.3957248561249657,0.2797365362262689,0.6760299625468165,1.0747409
stack_exchange,5,904,0.3905924382256624,0.26345381526104417,0.7548906789413119,-0.5520871
enron,5,1777,0.36657433056325023,0.23270808909730364,0.8630434782608696,0.46359172
wikipedia,4,863,0.36085626911314983,0.23994577496610936,0.7273972602739726,-0.6546912
stack_exchange,5,1569,0.355846474263612,0.23996789727126805,0.6881472957422324,0.4847534
stack_exchange,4,896,0.35538954108858056,0.23133032302882944,0.766398158803222,0.8613014
stack_exchange,5,908,0.3497428361498898,0.22215308027380212,0.8216340621403913,-0.50823677
hackernews,4,1167,0.3339080459770115,0.20869252873563218,0.8347701149425287,-1.14012
stack_exchange,5,1153,0.33374172996814505,0.21201743462017433,0.7836593785960875,-0.521788
hackernews,5,1516,0.32031636183885315,0.19343283582089552,0.9310344827586207,0.6871929
wikipedia,5,1569,0.31020972574325884,0.18647824882238848,0.9219178082191781,-0.45009997
hackernews,4,1816,0.3036447019068308,0.18247751668117204,0.9037356321839081,0.5179733
stack_exchange,4,975,0.29456066945606696,0.19440353460972018,0.6075949367088608,0.67596054
wikipedia,5,98,0.29160146061554515,0.180090206185567,0.7657534246575343,-1.1519108
stack_exchange,5,1516,0.28532731376975173,0.17747823645043528,0.7272727272727273,-0.43800795
hackernews,4,975,0.2796337540212818,0.16890881913303438,0.8117816091954023,-1.0434594
wikipedia,4,1816,0.2731643356643356,0.1625065002600104,0.8561643835616438,0.44099402
hackernews,4,227,0.2664763264334999,0.1596806387225549,0.8045977011494253,-0.5223799
wikipedia,4,1167,0.26273334869785664,0.15793848711554448,0.7808219178082192,-0.8488622
stack_exchange,5,98,0.2611973392461197,0.16176874485031584,0.6777905638665133,0.5575571
hackernews,4,896,0.23132427843803055,0.13570717131474103,0.7830459770114943,-0.49713612
enron,3,1745,0.2255025125628141,0.131791483113069,0.7804347826086957,-0.3767197
enron,5,1163,0.22441993153290224,0.13600737667127707,0.6413043478260869,0.37975863
enron,5,681,0.2187759623373027,0.12535702951443986,0.8586956521739131,0.50356746
wikipedia,4,975,0.20618955512572532,0.12004504504504504,0.7301369863013699,-0.546612
enron,5,1057,0.19574009166891343,0.11172668513388735,0.7891304347826087,-0.38030127
enron,5,881,0.18122846138252582,0.0999329309188464,0.9717391304347827,-0.40889883
enron,4,896,0.16629547141796586,0.09382853951410221,0.7304347826086957,-0.7179258
enron,5,1153,0.1569135163127913,0.0890652557319224,0.658695652173913,-0.38051337
enron,4,1447,0.13799243267304698,0.07686585668237045,0.6739130434782609,-0.37119818
